EGT_ID,EGT_UID,ELCODE,TAXGROUP,G_NAME,G_COMNAME,ORIGIN,PRESENCE,COMMENTS,HUC8_OLD,HUC8_WBD,CONV_DATA,DUP_FLAG,PCTOVRLAP,CONF_SCORE,CONFMETHOD,CONF_COM,CONF_EO,REFCODE1,SHORT_CIT1,NEW_DATA,NEW_RECTOT,NEW_SRC,NEW_COM,REFCODE2,SHORT_CIT2,CURR_EO,EOpost1978,EO_noDate
120715,2-120715,ICMAL11510,Crayfishes,Faxonius macrus,Neosho Midget Crayfish,Native,Present,,11070206,11070206,Y,,92.6244877,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,24,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
116048,2-116048,ICMAL07220,Crayfishes,Cambarus setosus,Bristly Cave Crayfish,Native,Present,,11070206,11070206,Y,,92.6244877,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
114706,2-114706,ICMAL07910,Crayfishes,Cambarus subterraneus,Delaware County Cave Crayfish,Native,Present,,11070206,11070206,Y,,92.6244877,Very High,Auto,,,A93HOB01EHUS,"Hobbs, 1993",,,,,,,,,
119078,2-119078,ICMAL11240,Crayfishes,Faxonius neglectus,Ringed Crayfish,Native,Present,,11070206,11070206,Y,,92.6244877,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,98,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
116048,2-116048,ICMAL07220,Crayfishes,Cambarus setosus,Bristly Cave Crayfish,Native,Present,,11070207,11070207,Y,,98.19588507,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120715,2-120715,ICMAL11510,Crayfishes,Faxonius macrus,Neosho Midget Crayfish,Native,Present,,11070207,11070207,Y,,98.19588507,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,36,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112282,2-112282,ICMAL07840,Crayfishes,Cambarus aculabrum,Benton County Cave Crayfish,Native,Present,,11070208,11070208,Y,,96.9680911,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,1,BISON,,,"National Museum of Natural History, Smithsonian Institution. NMNH Extant Specimen and Observation Records. (Accessed through Biodiversity Information Serving Our Nation (BISON), https://bison.usgs.gov, 2019-05-06)",,,
116048,2-116048,ICMAL07220,Crayfishes,Cambarus setosus,Bristly Cave Crayfish,Native,Present,,11070208,11070208,Y,,96.9680911,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
116696,2-116696,ICMAL11230,Crayfishes,Faxonius nana,Midget Crayfish,Native,Present,,11070209,11070209,Y,,97.88501302,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119078,2-119078,ICMAL11240,Crayfishes,Faxonius neglectus,Ringed Crayfish,Native,Present,,11070209,11070209,Y,,97.88501302,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,63,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118123,2-118123,ICMAL07150,Crayfishes,Cambarus tartarus,Oklahoma Cave Crayfish,Native,Present,,11070209,11070209,Y,,97.88501302,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
116048,2-116048,ICMAL07220,Crayfishes,Cambarus setosus,Bristly Cave Crayfish,Native,Present,,11070209,11070209,Y,,97.88501302,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
117716,2-117716,ICMAL11110,Crayfishes,Faxonius deanae,Conchas Crayfish,Native,Present,,11080003,11080003,Y,,97.5190047,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,2,BISON,,,"iNaturalist.org. iNaturalist Research-grade Observations. (Accessed through Biodiversity Information Serving Our Nation (BISON), https://bison.usgs.gov, 2019-05-06)",,,
117716,2-117716,ICMAL11110,Crayfishes,Faxonius deanae,Conchas Crayfish,Native,Present,,11080006,11080006,Y,,90.21256211,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",,,,,,,,,
117716,2-117716,ICMAL11110,Crayfishes,Faxonius deanae,Conchas Crayfish,Native,Present,,11080006,11090101,Y,,7.548469778,Very Low,Auto,,,B89HOB01EHUS,"Hobbs, 1989",,,,,,,,,
108941,2-108941,ICMAL14230,Crayfishes,Procambarus acutus,White River Crawfish,Native,Present,,11090202,11090202,Y,,96.75003863,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11090202,11090202,Y,,96.75003863,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,12,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119424,2-119424,ICMAL14980,Crayfishes,Fallicambarus tenuis,Ouachita Mountain Crayfish,Native,Present,,11090204,11090204,Y,,97.15624946,Very High,Auto,,,A69REI01EHUS,"Reimer, 1969",,,,,,,,,
108941,2-108941,ICMAL14230,Crayfishes,Procambarus acutus,White River Crawfish,Native,Present,,11100201,11100201,Y,,96.47443718,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11100201,11100201,Y,,96.47443718,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
108941,2-108941,ICMAL14230,Crayfishes,Procambarus acutus,White River Crawfish,Native,Present,,11100301,11100301,Y,,96.6051421,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,4,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11100301,11100301,Y,,96.6051421,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
117716,2-117716,ICMAL11110,Crayfishes,Faxonius deanae,Conchas Crayfish,Native,Present,,11100301,11100301,Y,,96.6051421,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,20,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11100301,11100301,Y,,96.6051421,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,8,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
